IDS,,Classification,Candidate,,,,,,,,(Candidate) How do you think you measure up,,,,,Candidate Preference,,,,,,Partner,,,,,,,,(Partner) How do you think you measure up,,,,,Parterner Preference,,,,,,Correlation,Candidate Propensities,,,
iid,pid,match,gender,age,race,undergra,field_cd,zipcode,income,career_c,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,gender_o,age_o,race_o,undergra,field_cd,zipcode,income,career_c,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,int_corr,imprace,imprelig,date,go_out
235,244,0,0,23,2,Holy Cross,9,"1,890","0,0",2,6,9,9,8,9,15,15,20,20,20,10,,28,2,University of Washington,8,0,0,7,7,10,7,10,10,20,20,20,10,10,20,0.01,3,1,4,3
235,245,0,0,23,2,Holy Cross,9,"1,890","0,0",2,6,9,9,8,9,15,15,20,20,20,10,,32,2,Columbia,7,2173,0,1,5,7,6,8,7,18,10,30,10,10,22,0.43,3,1,4,3
235,246,0,0,23,2,Holy Cross,9,"1,890","0,0",2,6,9,9,8,9,15,15,20,20,20,10,,25,2,SUNY Stony Brook,10,11234,41476,2,7,8,6,7,6,35,20,10,20,10,5,0.44,3,1,4,3
235,247,0,0,23,2,Holy Cross,9,"1,890","0,0",2,6,9,9,8,9,15,15,20,20,20,10,,25,4,Fudan University,10,200065,0,2,5,10,2,8,4,20,30,10,15,0,25,-0.63,3,1,4,3
235,248,1,0,23,2,Holy Cross,9,"1,890","0,0",2,6,9,9,8,9,15,15,20,20,20,10,,27,6,Cornell,8,92037,49841,7,5,6,8,8,8,25,15,20,20,15,5,0.04,3,1,4,3
235,249,0,0,23,2,Holy Cross,9,"1,890","0,0",2,6,9,9,8,9,15,15,20,20,20,10,,33,6,Universidad Catolica de Chile,8,0,0,7,7,9,7,10,7,22,22,15,15,5,21,0.31,3,1,4,3
235,250,0,0,23,2,Holy Cross,9,"1,890","0,0",2,6,9,9,8,9,15,15,20,20,20,10,,25,6,Amherst College,6,0,0,2,10,9,9,10,10,20,20,20,20,10,10,0.65,3,1,4,3
235,251,0,0,23,2,Holy Cross,9,"1,890","0,0",2,6,9,9,8,9,15,15,20,20,20,10,,33,6,Hebrew University,7,0,0,10,8,10,9,10,9,19,19,19,19,19,5,0.11,3,1,4,3
236,243,0,0,24,4,University of Pennsylvania,10,"46,815","42,225.00",2,7,9,10,8,8,15,20,15,20,15,15,,27,2,Yale University,16,0,0,2,7,9,8,9,5,20,20,20,25,5,10,0.06,3,3,7,1
236,244,0,0,24,4,University of Pennsylvania,10,"46,815","42,225.00",2,7,9,10,8,8,15,20,15,20,15,15,,28,2,University of Washington,8,0,0,7,7,10,7,10,10,20,20,20,10,10,20,0.07,3,3,7,1
236,245,0,0,24,4,University of Pennsylvania,10,"46,815","42,225.00",2,7,9,10,8,8,15,20,15,20,15,15,,32,2,Columbia,7,2173,0,1,5,7,6,8,7,18,10,30,10,10,22,0.19,3,3,7,1
236,246,0,0,24,4,University of Pennsylvania,10,"46,815","42,225.00",2,7,9,10,8,8,15,20,15,20,15,15,,25,2,SUNY Stony Brook,10,11234,41476,2,7,8,6,7,6,35,20,10,20,10,5,0.26,3,3,7,1
236,247,0,0,24,4,University of Pennsylvania,10,"46,815","42,225.00",2,7,9,10,8,8,15,20,15,20,15,15,,25,4,Fudan University,10,200065,0,2,5,10,2,8,4,20,30,10,15,0,25,-0.14,3,3,7,1
236,248,0,0,24,4,University of Pennsylvania,10,"46,815","42,225.00",2,7,9,10,8,8,15,20,15,20,15,15,,27,6,Cornell,8,92037,49841,7,5,6,8,8,8,25,15,20,20,15,5,-0.03,3,3,7,1
236,249,0,0,24,4,University of Pennsylvania,10,"46,815","42,225.00",2,7,9,10,8,8,15,20,15,20,15,15,,33,6,Universidad Catolica de Chile,8,0,0,7,7,9,7,10,7,22,22,15,15,5,21,0.47,3,3,7,1
236,250,0,0,24,4,University of Pennsylvania,10,"46,815","42,225.00",2,7,9,10,8,8,15,20,15,20,15,15,,25,6,Amherst College,6,0,0,2,10,9,9,10,10,20,20,20,20,10,10,0.39,3,3,7,1
236,251,0,0,24,4,University of Pennsylvania,10,"46,815","42,225.00",2,7,9,10,8,8,15,20,15,20,15,15,,33,6,Hebrew University,7,0,0,10,8,10,9,10,9,19,19,19,19,19,5,0.39,3,3,7,1
237,243,0,0,34,2,UCLA,7,"91,206","37,405.00",6,8,10,7,8,8,10,20,20,20,20,10,,27,2,Yale University,16,0,0,2,7,9,8,9,5,20,20,20,25,5,10,0.38,10,1,7,4
237,244,0,0,34,2,UCLA,7,"91,206","37,405.00",6,8,10,7,8,8,10,20,20,20,20,10,,28,2,University of Washington,8,0,0,7,7,10,7,10,10,20,20,20,10,10,20,0.73,10,1,7,4
237,245,0,0,34,2,UCLA,7,"91,206","37,405.00",6,8,10,7,8,8,10,20,20,20,20,10,,32,2,Columbia,7,2173,0,1,5,7,6,8,7,18,10,30,10,10,22,0.31,10,1,7,4
237,246,0,0,34,2,UCLA,7,"91,206","37,405.00",6,8,10,7,8,8,10,20,20,20,20,10,,25,2,SUNY Stony Brook,10,11234,41476,2,7,8,6,7,6,35,20,10,20,10,5,0.24,10,1,7,4
237,247,0,0,34,2,UCLA,7,"91,206","37,405.00",6,8,10,7,8,8,10,20,20,20,20,10,,25,4,Fudan University,10,200065,0,2,5,10,2,8,4,20,30,10,15,0,25,0.27,10,1,7,4
237,248,0,0,34,2,UCLA,7,"91,206","37,405.00",6,8,10,7,8,8,10,20,20,20,20,10,,27,6,Cornell,8,92037,49841,7,5,6,8,8,8,25,15,20,20,15,5,0.15,10,1,7,4
237,249,0,0,34,2,UCLA,7,"91,206","37,405.00",6,8,10,7,8,8,10,20,20,20,20,10,,33,6,Universidad Catolica de Chile,8,0,0,7,7,9,7,10,7,22,22,15,15,5,21,-0.09,10,1,7,4
237,250,1,0,34,2,UCLA,7,"91,206","37,405.00",6,8,10,7,8,8,10,20,20,20,20,10,,25,6,Amherst College,6,0,0,2,10,9,9,10,10,20,20,20,20,10,10,0.6,10,1,7,4
237,251,0,0,34,2,UCLA,7,"91,206","37,405.00",6,8,10,7,8,8,10,20,20,20,20,10,,33,6,Hebrew University,7,0,0,10,8,10,9,10,9,19,19,19,19,19,5,0.14,10,1,7,4
238,243,0,0,27,2,Swarthmore College,15,"54,449","28,524.00",6,10,9,10,9,8,15,20,20,15,15,15,,27,2,Yale University,16,0,0,2,7,9,8,9,5,20,20,20,25,5,10,0.28,3,5,2,1
238,244,1,0,27,2,Swarthmore College,15,"54,449","28,524.00",6,10,9,10,9,8,15,20,20,15,15,15,,28,2,University of Washington,8,0,0,7,7,10,7,10,10,20,20,20,10,10,20,0.18,3,5,2,1
238,245,0,0,27,2,Swarthmore College,15,"54,449","28,524.00",6,10,9,10,9,8,15,20,20,15,15,15,,32,2,Columbia,7,2173,0,1,5,7,6,8,7,18,10,30,10,10,22,0.26,3,5,2,1
238,246,0,0,27,2,Swarthmore College,15,"54,449","28,524.00",6,10,9,10,9,8,15,20,20,15,15,15,,25,2,SUNY Stony Brook,10,11234,41476,2,7,8,6,7,6,35,20,10,20,10,5,0.46,3,5,2,1
238,247,0,0,27,2,Swarthmore College,15,"54,449","28,524.00",6,10,9,10,9,8,15,20,20,15,15,15,,25,4,Fudan University,10,200065,0,2,5,10,2,8,4,20,30,10,15,0,25,-0.14,3,5,2,1
238,248,0,0,27,2,Swarthmore College,15,"54,449","28,524.00",6,10,9,10,9,8,15,20,20,15,15,15,,27,6,Cornell,8,92037,49841,7,5,6,8,8,8,25,15,20,20,15,5,0.14,3,5,2,1
238,249,0,0,27,2,Swarthmore College,15,"54,449","28,524.00",6,10,9,10,9,8,15,20,20,15,15,15,,33,6,Universidad Catolica de Chile,8,0,0,7,7,9,7,10,7,22,22,15,15,5,21,0.2,3,5,2,1
238,250,1,0,27,2,Swarthmore College,15,"54,449","28,524.00",6,10,9,10,9,8,15,20,20,15,15,15,,25,6,Amherst College,6,0,0,2,10,9,9,10,10,20,20,20,20,10,10,0.81,3,5,2,1
238,251,0,0,27,2,Swarthmore College,15,"54,449","28,524.00",6,10,9,10,9,8,15,20,20,15,15,15,,33,6,Hebrew University,7,0,0,10,8,10,9,10,9,19,19,19,19,19,5,0.03,3,5,2,1
239,243,0,0,34,2,Columbia College,10,"8,028","0,0",7,7,9,7,9,4,10,25,20,20,5,20,,27,2,Yale University,16,0,0,2,7,9,8,9,5,20,20,20,25,5,10,0.28,6,6,6,3
239,244,0,0,34,2,Columbia College,10,"8,028","0,0",7,7,9,7,9,4,10,25,20,20,5,20,,28,2,University of Washington,8,0,0,7,7,10,7,10,10,20,20,20,10,10,20,0.66,6,6,6,3
239,245,1,0,34,2,Columbia College,10,"8,028","0,0",7,7,9,7,9,4,10,25,20,20,5,20,,32,2,Columbia,7,2173,0,1,5,7,6,8,7,18,10,30,10,10,22,0.54,6,6,6,3
239,246,0,0,34,2,Columbia College,10,"8,028","0,0",7,7,9,7,9,4,10,25,20,20,5,20,,25,2,SUNY Stony Brook,10,11234,41476,2,7,8,6,7,6,35,20,10,20,10,5,0.52,6,6,6,3
239,247,0,0,34,2,Columbia College,10,"8,028","0,0",7,7,9,7,9,4,10,25,20,20,5,20,,25,4,Fudan University,10,200065,0,2,5,10,2,8,4,20,30,10,15,0,25,0.02,6,6,6,3
239,248,0,0,34,2,Columbia College,10,"8,028","0,0",7,7,9,7,9,4,10,25,20,20,5,20,,27,6,Cornell,8,92037,49841,7,5,6,8,8,8,25,15,20,20,15,5,0.15,6,6,6,3
239,249,0,0,34,2,Columbia College,10,"8,028","0,0",7,7,9,7,9,4,10,25,20,20,5,20,,33,6,Universidad Catolica de Chile,8,0,0,7,7,9,7,10,7,22,22,15,15,5,21,0.32,6,6,6,3
239,250,0,0,34,2,Columbia College,10,"8,028","0,0",7,7,9,7,9,4,10,25,20,20,5,20,,25,6,Amherst College,6,0,0,2,10,9,9,10,10,20,20,20,20,10,10,0.6,6,6,6,3
239,251,0,0,34,2,Columbia College,10,"8,028","0,0",7,7,9,7,9,4,10,25,20,20,5,20,,33,6,Hebrew University,7,0,0,10,8,10,9,10,9,19,19,19,19,19,5,0.37,6,6,6,3
240,243,0,0,26,4,SUNY Binghamton,8,"10,598","61,141.00",6,3,8,5,3,6,10,30,30,10,10,10,,27,2,Yale University,16,0,0,2,7,9,8,9,5,20,20,20,25,5,10,0.09,1,1,6,3
240,244,0,0,26,4,SUNY Binghamton,8,"10,598","61,141.00",6,3,8,5,3,6,10,30,30,10,10,10,,28,2,University of Washington,8,0,0,7,7,10,7,10,10,20,20,20,10,10,20,-0.31,1,1,6,3
240,245,0,0,26,4,SUNY Binghamton,8,"10,598","61,141.00",6,3,8,5,3,6,10,30,30,10,10,10,,32,2,Columbia,7,2173,0,1,5,7,6,8,7,18,10,30,10,10,22,0.18,1,1,6,3
240,246,0,0,26,4,SUNY Binghamton,8,"10,598","61,141.00",6,3,8,5,3,6,10,30,30,10,10,10,,25,2,SUNY Stony Brook,10,11234,41476,2,7,8,6,7,6,35,20,10,20,10,5,-0.25,1,1,6,3
240,247,0,0,26,4,SUNY Binghamton,8,"10,598","61,141.00",6,3,8,5,3,6,10,30,30,10,10,10,,25,4,Fudan University,10,200065,0,2,5,10,2,8,4,20,30,10,15,0,25,-0.06,1,1,6,3
240,248,0,0,26,4,SUNY Binghamton,8,"10,598","61,141.00",6,3,8,5,3,6,10,30,30,10,10,10,,27,6,Cornell,8,92037,49841,7,5,6,8,8,8,25,15,20,20,15,5,0.09,1,1,6,3
240,249,0,0,26,4,SUNY Binghamton,8,"10,598","61,141.00",6,3,8,5,3,6,10,30,30,10,10,10,,33,6,Universidad Catolica de Chile,8,0,0,7,7,9,7,10,7,22,22,15,15,5,21,-0.18,1,1,6,3
240,250,1,0,26,4,SUNY Binghamton,8,"10,598","61,141.00",6,3,8,5,3,6,10,30,30,10,10,10,,25,6,Amherst College,6,0,0,2,10,9,9,10,10,20,20,20,20,10,10,-0.38,1,1,6,3
240,251,0,0,26,4,SUNY Binghamton,8,"10,598","61,141.00",6,3,8,5,3,6,10,30,30,10,10,10,,33,6,Hebrew University,7,0,0,10,8,10,9,10,9,19,19,19,19,19,5,0.28,1,1,6,3
241,243,1,0,29,4,Barnard College,8,"10,454","8,607.00",7,8,10,8,8,8,90,2,2,2,2,2,,27,2,Yale University,16,0,0,2,7,9,8,9,5,20,20,20,25,5,10,0.51,1,1,4,2
241,244,0,0,29,4,Barnard College,8,"10,454","8,607.00",7,8,10,8,8,8,90,2,2,2,2,2,,28,2,University of Washington,8,0,0,7,7,10,7,10,10,20,20,20,10,10,20,0,1,1,4,2
241,245,0,0,29,4,Barnard College,8,"10,454","8,607.00",7,8,10,8,8,8,90,2,2,2,2,2,,32,2,Columbia,7,2173,0,1,5,7,6,8,7,18,10,30,10,10,22,0.11,1,1,4,2
241,246,0,0,29,4,Barnard College,8,"10,454","8,607.00",7,8,10,8,8,8,90,2,2,2,2,2,,25,2,SUNY Stony Brook,10,11234,41476,2,7,8,6,7,6,35,20,10,20,10,5,0.14,1,1,4,2
241,247,0,0,29,4,Barnard College,8,"10,454","8,607.00",7,8,10,8,8,8,90,2,2,2,2,2,,25,4,Fudan University,10,200065,0,2,5,10,2,8,4,20,30,10,15,0,25,-0.15,1,1,4,2
241,248,1,0,29,4,Barnard College,8,"10,454","8,607.00",7,8,10,8,8,8,90,2,2,2,2,2,,27,6,Cornell,8,92037,49841,7,5,6,8,8,8,25,15,20,20,15,5,0.17,1,1,4,2
241,249,0,0,29,4,Barnard College,8,"10,454","8,607.00",7,8,10,8,8,8,90,2,2,2,2,2,,33,6,Universidad Catolica de Chile,8,0,0,7,7,9,7,10,7,22,22,15,15,5,21,0.19,1,1,4,2
241,250,1,0,29,4,Barnard College,8,"10,454","8,607.00",7,8,10,8,8,8,90,2,2,2,2,2,,25,6,Amherst College,6,0,0,2,10,9,9,10,10,20,20,20,20,10,10,0.76,1,1,4,2
241,251,0,0,29,4,Barnard College,8,"10,454","8,607.00",7,8,10,8,8,8,90,2,2,2,2,2,,33,6,Hebrew University,7,0,0,10,8,10,9,10,9,19,19,19,19,19,5,-0.01,1,1,4,2
242,243,1,0,26,3,school of social sciences in uruguay,3,"12,000","0,0",2,7,9,7,8,4,20,20,25,20,5,10,,27,2,Yale University,16,0,0,2,7,9,8,9,5,20,20,20,25,5,10,0.31,3,3,7,3
242,244,0,0,26,3,school of social sciences in uruguay,3,"12,000","0,0",2,7,9,7,8,4,20,20,25,20,5,10,,28,2,University of Washington,8,0,0,7,7,10,7,10,10,20,20,20,10,10,20,0.19,3,3,7,3
242,245,0,0,26,3,school of social sciences in uruguay,3,"12,000","0,0",2,7,9,7,8,4,20,20,25,20,5,10,,32,2,Columbia,7,2173,0,1,5,7,6,8,7,18,10,30,10,10,22,0.73,3,3,7,3
242,246,1,0,26,3,school of social sciences in uruguay,3,"12,000","0,0",2,7,9,7,8,4,20,20,25,20,5,10,,25,2,SUNY Stony Brook,10,11234,41476,2,7,8,6,7,6,35,20,10,20,10,5,0.33,3,3,7,3
242,247,0,0,26,3,school of social sciences in uruguay,3,"12,000","0,0",2,7,9,7,8,4,20,20,25,20,5,10,,25,4,Fudan University,10,200065,0,2,5,10,2,8,4,20,30,10,15,0,25,-0.01,3,3,7,3
242,248,1,0,26,3,school of social sciences in uruguay,3,"12,000","0,0",2,7,9,7,8,4,20,20,25,20,5,10,,27,6,Cornell,8,92037,49841,7,5,6,8,8,8,25,15,20,20,15,5,0.16,3,3,7,3
242,249,0,0,26,3,school of social sciences in uruguay,3,"12,000","0,0",2,7,9,7,8,4,20,20,25,20,5,10,,33,6,Universidad Catolica de Chile,8,0,0,7,7,9,7,10,7,22,22,15,15,5,21,0.27,3,3,7,3
242,250,1,0,26,3,school of social sciences in uruguay,3,"12,000","0,0",2,7,9,7,8,4,20,20,25,20,5,10,,25,6,Amherst College,6,0,0,2,10,9,9,10,10,20,20,20,20,10,10,0.67,3,3,7,3
242,251,1,0,26,3,school of social sciences in uruguay,3,"12,000","0,0",2,7,9,7,8,4,20,20,25,20,5,10,,33,6,Hebrew University,7,0,0,10,8,10,9,10,9,19,19,19,19,19,5,0.44,3,3,7,3
243,234,0,1,27,2,Yale University,16,"0,0","0,0",2,7,9,8,9,5,20,20,20,25,5,10,,22,6,George Mason University,3,23060,44346,2,7,7,8,8,10,20,20,20,10,10,20,0.43,2,3,6,2
243,235,1,1,27,2,Yale University,16,"0,0","0,0",2,7,9,8,9,5,20,20,20,25,5,10,,23,2,Holy Cross,9,1890,0,2,6,9,9,8,9,15,15,20,20,20,10,0.33,2,3,6,2
243,236,0,1,27,2,Yale University,16,"0,0","0,0",2,7,9,8,9,5,20,20,20,25,5,10,,24,4,University of Pennsylvania,10,46815,42225,2,7,9,10,8,8,15,20,15,20,15,15,0.06,2,3,6,2
243,237,0,1,27,2,Yale University,16,"0,0","0,0",2,7,9,8,9,5,20,20,20,25,5,10,,34,2,UCLA,7,91206,37405,6,8,10,7,8,8,10,20,20,20,20,10,0.38,2,3,6,2
243,238,0,1,27,2,Yale University,16,"0,0","0,0",2,7,9,8,9,5,20,20,20,25,5,10,,27,2,Swarthmore College,15,54449,28524,6,10,9,10,9,8,15,20,20,15,15,15,0.28,2,3,6,2
243,239,0,1,27,2,Yale University,16,"0,0","0,0",2,7,9,8,9,5,20,20,20,25,5,10,,34,2,Columbia College,10,8028,0,7,7,9,7,9,4,10,25,20,20,5,20,0.28,2,3,6,2
243,240,0,1,27,2,Yale University,16,"0,0","0,0",2,7,9,8,9,5,20,20,20,25,5,10,,26,4,SUNY Binghamton,8,10598,61141,6,3,8,5,3,6,10,30,30,10,10,10,0.09,2,3,6,2
243,241,1,1,27,2,Yale University,16,"0,0","0,0",2,7,9,8,9,5,20,20,20,25,5,10,,29,4,Barnard College,8,10454,8607,7,8,10,8,8,8,90,2,2,2,2,2,0.51,2,3,6,2
243,242,1,1,27,2,Yale University,16,"0,0","0,0",2,7,9,8,9,5,20,20,20,25,5,10,,26,3,school of social sciences in uruguay,3,12000,0,2,7,9,7,8,4,20,20,25,20,5,10,0.31,2,3,6,2
244,234,0,1,28,2,University of Washington,8,"0,0","0,0",7,7,10,7,10,10,20,20,20,10,10,20,,22,6,George Mason University,3,23060,44346,2,7,7,8,8,10,20,20,20,10,10,20,0.46,8,9,5,3
244,235,0,1,28,2,University of Washington,8,"0,0","0,0",7,7,10,7,10,10,20,20,20,10,10,20,,23,2,Holy Cross,9,1890,0,2,6,9,9,8,9,15,15,20,20,20,10,0.01,8,9,5,3
244,236,0,1,28,2,University of Washington,8,"0,0","0,0",7,7,10,7,10,10,20,20,20,10,10,20,,24,4,University of Pennsylvania,10,46815,42225,2,7,9,10,8,8,15,20,15,20,15,15,0.07,8,9,5,3
244,237,0,1,28,2,University of Washington,8,"0,0","0,0",7,7,10,7,10,10,20,20,20,10,10,20,,34,2,UCLA,7,91206,37405,6,8,10,7,8,8,10,20,20,20,20,10,0.73,8,9,5,3
244,238,1,1,28,2,University of Washington,8,"0,0","0,0",7,7,10,7,10,10,20,20,20,10,10,20,,27,2,Swarthmore College,15,54449,28524,6,10,9,10,9,8,15,20,20,15,15,15,0.18,8,9,5,3
244,239,0,1,28,2,University of Washington,8,"0,0","0,0",7,7,10,7,10,10,20,20,20,10,10,20,,34,2,Columbia College,10,8028,0,7,7,9,7,9,4,10,25,20,20,5,20,0.66,8,9,5,3
244,240,0,1,28,2,University of Washington,8,"0,0","0,0",7,7,10,7,10,10,20,20,20,10,10,20,,26,4,SUNY Binghamton,8,10598,61141,6,3,8,5,3,6,10,30,30,10,10,10,-0.31,8,9,5,3
244,241,0,1,28,2,University of Washington,8,"0,0","0,0",7,7,10,7,10,10,20,20,20,10,10,20,,29,4,Barnard College,8,10454,8607,7,8,10,8,8,8,90,2,2,2,2,2,0,8,9,5,3
244,242,0,1,28,2,University of Washington,8,"0,0","0,0",7,7,10,7,10,10,20,20,20,10,10,20,,26,3,school of social sciences in uruguay,3,12000,0,2,7,9,7,8,4,20,20,25,20,5,10,0.19,8,9,5,3
245,234,0,1,32,2,Columbia,7,"2,173","0,0",1,5,7,6,8,7,18,10,30,10,10,22,,22,6,George Mason University,3,23060,44346,2,7,7,8,8,10,20,20,20,10,10,20,0.05,1,6,5,2
245,235,0,1,32,2,Columbia,7,"2,173","0,0",1,5,7,6,8,7,18,10,30,10,10,22,,23,2,Holy Cross,9,1890,0,2,6,9,9,8,9,15,15,20,20,20,10,0.43,1,6,5,2
245,236,0,1,32,2,Columbia,7,"2,173","0,0",1,5,7,6,8,7,18,10,30,10,10,22,,24,4,University of Pennsylvania,10,46815,42225,2,7,9,10,8,8,15,20,15,20,15,15,0.19,1,6,5,2
245,237,0,1,32,2,Columbia,7,"2,173","0,0",1,5,7,6,8,7,18,10,30,10,10,22,,34,2,UCLA,7,91206,37405,6,8,10,7,8,8,10,20,20,20,20,10,0.31,1,6,5,2
245,238,0,1,32,2,Columbia,7,"2,173","0,0",1,5,7,6,8,7,18,10,30,10,10,22,,27,2,Swarthmore College,15,54449,28524,6,10,9,10,9,8,15,20,20,15,15,15,0.26,1,6,5,2
245,239,1,1,32,2,Columbia,7,"2,173","0,0",1,5,7,6,8,7,18,10,30,10,10,22,,34,2,Columbia College,10,8028,0,7,7,9,7,9,4,10,25,20,20,5,20,0.54,1,6,5,2
245,240,0,1,32,2,Columbia,7,"2,173","0,0",1,5,7,6,8,7,18,10,30,10,10,22,,26,4,SUNY Binghamton,8,10598,61141,6,3,8,5,3,6,10,30,30,10,10,10,0.18,1,6,5,2
245,241,0,1,32,2,Columbia,7,"2,173","0,0",1,5,7,6,8,7,18,10,30,10,10,22,,29,4,Barnard College,8,10454,8607,7,8,10,8,8,8,90,2,2,2,2,2,0.11,1,6,5,2
245,242,0,1,32,2,Columbia,7,"2,173","0,0",1,5,7,6,8,7,18,10,30,10,10,22,,26,3,school of social sciences in uruguay,3,12000,0,2,7,9,7,8,4,20,20,25,20,5,10,0.73,1,6,5,2
246,234,0,1,25,2,SUNY Stony Brook,10,"11,234","41,476.00",2,7,8,6,7,6,35,20,10,20,10,5,,22,6,George Mason University,3,23060,44346,2,7,7,8,8,10,20,20,20,10,10,20,0.44,7,1,7,6
246,235,0,1,25,2,SUNY Stony Brook,10,"11,234","41,476.00",2,7,8,6,7,6,35,20,10,20,10,5,,23,2,Holy Cross,9,1890,0,2,6,9,9,8,9,15,15,20,20,20,10,0.44,7,1,7,6
246,236,0,1,25,2,SUNY Stony Brook,10,"11,234","41,476.00",2,7,8,6,7,6,35,20,10,20,10,5,,24,4,University of Pennsylvania,10,46815,42225,2,7,9,10,8,8,15,20,15,20,15,15,0.26,7,1,7,6
246,237,0,1,25,2,SUNY Stony Brook,10,"11,234","41,476.00",2,7,8,6,7,6,35,20,10,20,10,5,,34,2,UCLA,7,91206,37405,6,8,10,7,8,8,10,20,20,20,20,10,0.24,7,1,7,6
246,238,0,1,25,2,SUNY Stony Brook,10,"11,234","41,476.00",2,7,8,6,7,6,35,20,10,20,10,5,,27,2,Swarthmore College,15,54449,28524,6,10,9,10,9,8,15,20,20,15,15,15,0.46,7,1,7,6
246,239,0,1,25,2,SUNY Stony Brook,10,"11,234","41,476.00",2,7,8,6,7,6,35,20,10,20,10,5,,34,2,Columbia College,10,8028,0,7,7,9,7,9,4,10,25,20,20,5,20,0.52,7,1,7,6
246,240,0,1,25,2,SUNY Stony Brook,10,"11,234","41,476.00",2,7,8,6,7,6,35,20,10,20,10,5,,26,4,SUNY Binghamton,8,10598,61141,6,3,8,5,3,6,10,30,30,10,10,10,-0.25,7,1,7,6
246,241,0,1,25,2,SUNY Stony Brook,10,"11,234","41,476.00",2,7,8,6,7,6,35,20,10,20,10,5,,29,4,Barnard College,8,10454,8607,7,8,10,8,8,8,90,2,2,2,2,2,0.14,7,1,7,6
246,242,1,1,25,2,SUNY Stony Brook,10,"11,234","41,476.00",2,7,8,6,7,6,35,20,10,20,10,5,,26,3,school of social sciences in uruguay,3,12000,0,2,7,9,7,8,4,20,20,25,20,5,10,0.33,7,1,7,6
247,234,0,1,25,4,Fudan University,10,"200,065","0,0",2,5,10,2,8,4,20,30,10,15,0,25,,22,6,George Mason University,3,23060,44346,2,7,7,8,8,10,20,20,20,10,10,20,-0.2,1,1,6,4
247,235,0,1,25,4,Fudan University,10,"200,065","0,0",2,5,10,2,8,4,20,30,10,15,0,25,,23,2,Holy Cross,9,1890,0,2,6,9,9,8,9,15,15,20,20,20,10,-0.63,1,1,6,4
